Date,Time,Open,High,Low,Close,Volume
4/7/2009,07:06,76.33,76.33,76.33,76.33,1215
4/7/2009,08:00,76.74,76.74,76.52,76.52,578
4/7/2009,08:06,76.52,76.52,76.52,76.52,158
4/7/2009,08:07,76.52,76.52,76.52,76.52,499
4/7/2009,08:15,76.49,76.49,76.49,76.49,131
4/7/2009,08:16,76.49,76.49,76.49,76.49,1051
4/7/2009,08:19,76.52,76.52,76.52,76.52,131
4/7/2009,08:21,76.52,76.52,76.52,76.52,657
4/7/2009,08:36,76.52,76.52,76.52,76.52,131
4/7/2009,08:48,76.47,76.47,76.47,76.47,263
4/7/2009,09:03,76.47,76.47,76.45,76.45,2214
4/7/2009,09:05,76.39,76.39,76.37,76.37,263
4/7/2009,09:06,76.33,76.33,76.33,76.33,263
4/7/2009,09:17,76.33,76.33,76.33,76.33,131
4/7/2009,09:23,76.44,76.44,76.44,76.44,657
4/7/2009,09:29,76.33,76.33,76.23,76.26,7486
4/7/2009,09:30,76.27,76.52,76.23,76.23,187955
4/7/2009,09:31,76.25,76.31,76.07,76.13,112494
4/7/2009,09:32,76.13,76.29,76.1,76.27,30141
4/7/2009,09:33,76.26,76.28,76.1,76.13,52699
4/7/2009,09:34,76.13,76.18,75.99,76.08,53054
4/7/2009,09:35,76.07,76.34,75.95,75.95,73651
4/7/2009,09:36,75.97,75.99,75.8,75.86,90411
4/7/2009,09:37,75.83,75.86,75.66,75.66,83450
4/7/2009,09:38,75.66,75.76,75.58,75.67,76823
4/7/2009,09:39,75.68,75.72,75.6,75.69,50106
4/7/2009,09:40,75.68,75.76,75.62,75.68,33243
4/7/2009,09:41,75.69,75.69,75.48,75.54,59112
4/7/2009,09:42,75.54,75.76,75.5,75.72,45047
4/7/2009,09:43,75.71,75.9,75.7,75.75,68803
4/7/2009,09:44,75.75,75.89,75.69,75.82,60051
4/7/2009,09:45,75.79,75.81,75.5,75.53,47234
4/7/2009,09:46,75.53,75.66,75.47,75.47,21814
4/7/2009,09:47,75.5,75.66,75.38,75.4,84569
4/7/2009,09:48,75.4,75.48,75.38,75.42,48609
4/7/2009,09:49,75.41,75.63,75.41,75.58,33523
4/7/2009,09:50,75.59,75.66,75.47,75.5,41560
4/7/2009,09:51,75.48,75.5,75.38,75.38,55336
4/7/2009,09:52,75.4,75.48,75.3,75.48,114282
4/7/2009,09:53,75.46,75.6,75.45,75.49,35399
4/7/2009,09:54,75.5,75.55,75.41,75.46,53912
4/7/2009,09:55,75.46,75.5,75.42,75.45,33654
4/7/2009,09:56,75.44,75.66,75.41,75.58,71340
4/7/2009,09:57,75.58,75.62,75.41,75.46,46736
4/7/2009,09:58,75.46,75.59,75.43,75.58,25479
4/7/2009,09:59,75.58,75.58,75.41,75.43,45214
4/7/2009,10:00,75.43,75.43,75.28,75.28,69962
4/7/2009,10:01,75.28,75.42,75.27,75.41,39761
4/7/2009,10:02,75.42,75.42,75.27,75.3,46333
4/7/2009,10:03,75.31,75.44,75.29,75.29,46812
4/7/2009,10:04,75.29,75.38,75.27,75.27,38676
4/7/2009,10:05,75.27,75.31,75.21,75.21,38853
4/7/2009,10:06,75.21,75.28,75.21,75.23,32374
4/7/2009,10:07,75.24,75.28,75.19,75.27,31378
4/7/2009,10:08,75.27,75.28,75.19,75.21,30002
4/7/2009,10:09,75.19,75.37,75.19,75.33,45626
4/7/2009,10:10,75.33,75.35,75.18,75.27,53718
4/7/2009,10:11,75.27,75.27,75.16,75.21,32768
4/7/2009,10:12,75.2,75.27,75.15,75.24,40244
4/7/2009,10:13,75.24,75.35,75.21,75.27,43752
4/7/2009,10:14,75.29,75.34,75.28,75.33,34879
4/7/2009,10:15,75.3,75.32,75.22,75.26,40751
4/7/2009,10:16,75.24,75.3,75.18,75.19,49494
4/7/2009,10:17,75.19,75.21,75.02,75.04,66781
4/7/2009,10:18,75.05,75.08,75.04,75.04,60263
4/7/2009,10:19,75.04,75.11,75.04,75.1,62140
4/7/2009,10:20,75.07,75.15,75.05,75.15,56684
4/7/2009,10:21,75.15,75.21,75.07,75.1,61827
4/7/2009,10:22,75.1,75.21,75.1,75.16,46892
4/7/2009,10:23,75.18,75.24,75.15,75.16,31861
4/7/2009,10:24,75.16,75.24,75.11,75.15,47144
4/7/2009,10:25,75.14,75.5,75.12,75.48,52787
4/7/2009,10:26,75.48,75.48,75.31,75.35,49775
4/7/2009,10:27,75.34,75.5,75.34,75.5,48851
4/7/2009,10:28,75.5,75.59,75.5,75.53,63474
4/7/2009,10:29,75.53,75.7,75.5,75.67,66407
4/7/2009,10:30,75.67,75.75,75.66,75.71,54491
4/7/2009,10:31,75.72,75.72,75.6,75.71,52683
4/7/2009,10:32,75.72,75.74,75.62,75.65,26680
4/7/2009,10:33,75.66,75.74,75.62,75.64,29681
4/7/2009,10:34,75.65,75.66,75.53,75.58,18282
4/7/2009,10:35,75.57,75.66,75.56,75.59,14134
4/7/2009,10:36,75.6,75.66,75.49,75.6,25183
4/7/2009,10:37,75.6,75.62,75.53,75.55,15011
4/7/2009,10:38,75.56,75.62,75.52,75.57,28393
4/7/2009,10:39,75.56,75.69,75.55,75.69,18515
4/7/2009,10:40,75.69,75.73,75.57,75.57,25426
4/7/2009,10:41,75.57,75.64,75.54,75.62,20874
4/7/2009,10:42,75.61,75.66,75.56,75.65,31730
4/7/2009,10:43,75.66,75.73,75.64,75.73,44128
4/7/2009,10:44,75.7,75.8,75.69,75.8,44082
4/7/2009,10:45,75.81,75.97,75.8,75.85,77217
4/7/2009,10:46,75.85,75.94,75.82,75.94,15286
4/7/2009,10:47,75.94,76.09,75.93,76.01,42150
4/7/2009,10:48,76.01,76.06,75.87,75.91,54030
4/7/2009,10:49,75.91,76.03,75.9,76,21696
4/7/2009,10:50,76.01,76.02,75.87,75.89,26562
4/7/2009,10:51,75.87,75.9,75.85,75.87,19010
4/7/2009,10:52,75.85,75.98,75.85,75.97,18129
4/7/2009,10:53,75.98,76.06,75.94,76.04,15957
4/7/2009,10:54,76.01,76.03,75.94,75.95,17205
4/7/2009,10:55,75.95,75.99,75.94,75.95,10113
4/7/2009,10:56,75.93,75.94,75.85,75.88,44492
